                                                    capacity     operations     bandwidth 
pool                                              alloc   free   read  write   read  write
------------------------------------------------  -----  -----  -----  -----  -----  -----
fsbench_hybrid_v2                                 70.7G   501G    108  1.14K  13.2M   244M
  mirror-0                                        17.6G   109G     26    169  3.27M  48.9M
    /dev/disk/by-id/wwn-0x5000c50094425a2b-part1      -      -     13     94  1.64M  24.5M
    /dev/disk/by-id/wwn-0x5000c50094420143-part1      -      -     13     74  1.64M  24.4M
  mirror-1                                        17.6G   109G     25    174  3.22M  49.1M
    /dev/disk/by-id/wwn-0x5000c500944224af-part1      -      -     12     92  1.61M  24.6M
    /dev/disk/by-id/wwn-0x5000c50094420323-part1      -      -     12     81  1.61M  24.5M
  mirror-2                                        17.7G   109G     26    185  3.34M  49.5M
    /dev/disk/by-id/wwn-0x5000c5009442212f-part1      -      -     13     87  1.69M  24.8M
    /dev/disk/by-id/wwn-0x5000c5009442640f-part1      -      -     13     97  1.65M  24.8M
  mirror-3                                        17.7G   109G     25    179  3.23M  49.3M
    /dev/disk/by-id/wwn-0x5000c500944259f7-part1      -      -     12     96  1.59M  24.7M
    /dev/disk/by-id/wwn-0x5000c50094422a7f-part1      -      -     13     83  1.64M  24.7M
special                                               -      -      -      -      -      -
  mirror-4                                         132M  63.4G      3    455   110K  46.8M
    /dev/disk/by-id/wwn-0x5000cca04ec26e38-part1      -      -      2    227  56.4K  23.4M
    /dev/disk/by-id/wwn-0x5000cca04ec25d84-part1      -      -      1    228  53.9K  23.4M
cache                                                 -      -      -      -      -      -
  /dev/disk/by-id/wwn-0x5000cca04ec25e3c-part1    58.4G  5.56G      1    578  29.5K  70.2M
------------------------------------------------  -----  -----  -----  -----  -----  -----
